"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\question_db.dart", "Dart", 94, 0, 18, 112
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\quiz_db.dart", "Dart", 81, 0, 12, 93
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\study_materials_db.dart", "Dart", 58, 0, 9, 67
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\quiz.dart", "Dart", 2, 0, 0, 2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\study_material.dart", "Dart", -2, 0, 0, -2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Home\edit_offer.dart", "Dart", 1, 0, 0, 1
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Home\new_offer.dart", "Dart", 1, 0, 0, 1
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\accesses.dart", "Dart", 2, 0, 0, 2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\edit_material.dart", "Dart", 134, 0, 10, 144
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\manage_quiz.dart", "Dart", 254, 1, 8, 263
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\new_material.dart", "Dart", 116, 0, 9, 125
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\quiz.dart", "Dart", 287, 0, 14, 301
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\quiz_score.dart", "Dart", 73, 1, 5, 79
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\help.dart", "Dart", 2, 0, 0, 2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\study_materials.dart", "Dart", 21, 0, 0, 21
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\home.dart", "Dart", 7, 0, 0, 7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\button_widgets.dart", "Dart", 67, 0, 1, 68
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\form_widgets.dart", "Dart", 93, 0, 2, 95
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\offer_widgets.dart", "Dart", 6, 0, 0, 6
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\study_material_widgets.dart", "Dart", 131, 1, 1, 133
"Total", "-", 1428, 3, 89, 1520